lr-AdamW,step,train_loss,train_acc,epoch,val_loss,val_acc
0.0001,0,,,,,
,49,0.8859732967015554,0.7265625,0,,
,99,0.6798774698924521,0.7734375,0,,
,149,0.8725214857793081,0.6953125,0,,
,199,0.6410105736671646,0.78125,0,,
,249,0.7989132516262848,0.71875,0,,
,299,0.853020632330455,0.734375,0,,
,349,0.840603541326412,0.7109375,0,,
,399,0.835537511027208,0.7421875,0,,
,449,0.8530134455858036,0.6875,0,,
,499,0.8340650734750095,0.7109375,0,,
,549,0.8075176837560332,0.7265625,0,,
,599,0.8679109963937217,0.703125,0,,
,649,0.8292461461726777,0.71875,0,,
,699,0.8280839261124147,0.6953125,0,,
,749,0.7750534824579327,0.765625,0,,
,799,0.6931984635896552,0.8046875,0,,
,849,0.8008533248595326,0.765625,0,,
,899,0.7353284366353336,0.7578125,0,,
,949,0.8546881529913796,0.75,0,,
,999,0.7341410561935258,0.78125,0,,
,1049,0.7779606727106037,0.71875,0,,
,1099,0.9154057615897812,0.7109375,0,,
,1149,0.7694144229096209,0.71875,0,,
,1199,0.9575128714734654,0.703125,0,,
,1249,0.6264983676695016,0.7578125,0,,
,1299,0.6949198472404843,0.8046875,0,,
,1349,0.8607000009149574,0.703125,0,,
,1399,0.8099523221672866,0.734375,0,,
,1449,0.7637535876098025,0.7578125,0,,
,1499,0.7530221832280588,0.7109375,0,,
,1549,0.7810657190681087,0.734375,0,,
,1599,0.8253695364996858,0.734375,0,,
,1649,0.9426644022866904,0.703125,0,,
,1699,0.790223362450182,0.7578125,0,,
,1749,0.778453382581873,0.7265625,0,,
,1799,0.8189795583544147,0.7421875,0,,
,1849,0.7201961954249904,0.7421875,0,,
,1899,0.7668420564196377,0.734375,0,,
,1949,0.6805936744998102,0.78125,0,,
,1999,0.715790883095725,0.78125,0,,
,2049,0.8507222188007156,0.7109375,0,,
,2099,0.8079858659733494,0.6875,0,,
,2149,0.7282912909952356,0.765625,0,,
,2199,0.7659359912397252,0.765625,0,,
,2249,0.6714728188537389,0.7890625,0,,
,2299,0.7608055098457495,0.78125,0,,
,2349,0.6715166823840533,0.78125,0,,
,2399,0.6733637269602378,0.765625,0,,
,2449,0.753759314296317,0.8046875,0,,
,2499,0.7666365782044716,0.7734375,0,,
