lr-AdamW,step,train_loss,train_acc,epoch,val_loss,val_acc
0.0001,0,,,,,
,49,3.258689135764385,0.078125,0,,
,99,2.5883804949124762,0.265625,0,,
,149,2.527246008307431,0.265625,0,,
,199,2.1628904587415114,0.375,0,,
,249,2.0801426311412197,0.390625,0,,
,299,1.9986665492112454,0.4453125,0,,
,349,1.828678578711416,0.4453125,0,,
,399,1.8204662254079862,0.484375,0,,
,449,1.6116615683170263,0.5078125,0,,
,499,1.5905043391996792,0.515625,0,,
,549,1.719577906824178,0.484375,0,,
,599,1.4749136093669164,0.5390625,0,,
,649,1.748791906624809,0.5390625,0,,
,699,1.3654904991881782,0.640625,0,,
,749,1.5590790474758895,0.5,0,,
,799,1.2628156622102924,0.6484375,0,,
,849,1.3299957550881545,0.65625,0,,
,899,1.3586488357376254,0.546875,0,,
,949,1.4235877852901175,0.5546875,0,,
,999,1.2526655447398465,0.625,0,,
,1049,1.205575016729575,0.609375,0,,
,1099,1.5721214089908846,0.578125,0,,
,1149,1.2452577987177988,0.625,0,,
,1199,1.288574615423285,0.59375,0,,
,1249,1.2118341714059229,0.59375,0,,
,1299,1.2478225203172457,0.5859375,0,,
,1349,1.2926200786837942,0.6328125,0,,
,1399,1.4104169950509104,0.5703125,0,,
,1449,1.1111437774168849,0.640625,0,,
,1499,1.0992732132628145,0.671875,0,,
,1549,1.2519485033495803,0.578125,0,,
,1599,1.0995298357997787,0.6875,0,,
,1649,1.454847547372437,0.515625,0,,
,1699,1.2336621393918856,0.5,0,,
,1749,1.269756874788293,0.625,0,,
,1799,1.3763404215443413,0.5703125,0,,
,1849,1.160735975003773,0.6328125,0,,
,1899,1.1313391906922672,0.6015625,0,,
,1949,1.2159546735774398,0.609375,0,,
,1999,1.077981226436533,0.59375,0,,
,2049,1.104216236652864,0.625,0,,
,2099,1.1020759702426204,0.6953125,0,,
,2149,0.9789337664782441,0.6796875,0,,
,2199,0.9377567405132896,0.71875,0,,
,2249,0.9647133804818023,0.7109375,0,,
,2299,1.207999170079217,0.6484375,0,,
,2349,1.0527010812879294,0.6015625,0,,
,2399,1.2418488532196403,0.59375,0,,
,2449,0.9404989405926141,0.7109375,0,,
,2499,1.1623967495609435,0.65625,0,,
,2549,1.0980399892369075,0.578125,0,,
,2599,1.032507163589012,0.6953125,0,,
,2649,1.5214127866051468,0.515625,0,,
,2699,0.9304578608068118,0.6953125,0,,
,2749,0.9740163788971619,0.6953125,0,,
,2799,0.9998847694763043,0.6875,0,,
,2849,1.009885313494433,0.703125,0,,
,2899,1.0012577805607912,0.7109375,0,,
,2949,0.9257002695226286,0.6953125,0,,
,2999,1.0925252235970844,0.6796875,0,,
,3049,1.0198741528465138,0.71875,0,,
,3099,1.0153381114405695,0.6484375,0,,
,3149,1.0242668791988268,0.671875,0,,
,3199,0.979101792870442,0.6328125,0,,
,3249,0.9985228529237625,0.6953125,0,,
,3299,1.0085462913767322,0.625,0,,
,3349,0.9838796475637553,0.7109375,0,,
,3399,0.9761949766514041,0.640625,0,,
,3449,1.000527128929598,0.640625,0,,
,3499,1.0147858442638595,0.6875,0,,
,3549,1.1676431030462109,0.640625,0,,
,3599,0.999494360840206,0.65625,0,,
,3649,0.9205342782747161,0.6640625,0,,
,3699,1.2073210847637237,0.65625,0,,
,3749,1.0549770956483153,0.6953125,0,,
,3799,1.0034118606636326,0.6484375,0,,
,3849,0.788274956495585,0.75,0,,
,3899,1.129571340151578,0.625,0,,
,3949,0.9393242599501036,0.6953125,0,,
,3999,0.9398511647402513,0.7109375,0,,
,4049,0.8866306960493108,0.734375,0,,
,4099,1.0815716071288128,0.6015625,0,,
,4149,1.0906346068254553,0.6328125,0,,
,4199,1.0404145541573648,0.703125,0,,
,4249,0.9384294688628542,0.7265625,0,,
,4299,1.0483206362575341,0.7109375,0,,
,4349,0.8300418577461595,0.671875,0,,
,4399,1.0310665113748805,0.7109375,0,,
,4449,0.7285955347349381,0.7734375,0,,
,4499,0.9998441215953401,0.640625,0,,
,4549,0.9673105413643357,0.6796875,0,,
,4599,0.830475465020794,0.703125,0,,
,4649,0.7425413243381348,0.7734375,0,,
,4699,0.722242728731214,0.703125,0,,
,4749,1.0158346368715618,0.703125,0,,
,4799,0.9609974015727337,0.703125,0,,
,4849,0.7995263854197168,0.71875,0,,
,4899,1.02776927701089,0.671875,0,,
,4949,0.8760994268489605,0.6640625,0,,
,4999,1.0442751322454833,0.7109375,0,,
,5049,1.0028226648444305,0.6328125,0,,
,5099,0.9754078420323455,0.640625,0,,
,5149,0.9936898719841097,0.6484375,0,,
,5199,0.7308361233094274,0.75,0,,
,5249,1.0498233955580665,0.6796875,0,,
,5299,0.8686233580382265,0.7265625,0,,
,5349,0.8212820111950065,0.7421875,0,,
,5399,0.7919796659765101,0.7734375,0,,
,5449,0.9628572677118603,0.6484375,0,,
,5499,0.9797310526534128,0.6953125,0,,
,5531,,,0,1.0835042609298964,0.6439311558385069
0.0001,5532,,,,,
,5549,0.7350603824047818,0.7734375,1,,
,5599,0.8968649494199519,0.6484375,1,,
,5649,1.0383106838494056,0.6875,1,,
,5699,0.8539302909827411,0.765625,1,,
,5749,0.8642549098444977,0.7265625,1,,
,5799,0.8736971860494337,0.703125,1,,
,5849,0.9143065540753285,0.6953125,1,,
,5899,0.8181494941136498,0.7421875,1,,
,5949,0.8284794273827735,0.703125,1,,
,5999,0.7653223937598624,0.7578125,1,,
,6049,0.7123398961280131,0.7421875,1,,
,6099,0.8685815089998326,0.6953125,1,,
,6149,0.833962624179155,0.734375,1,,
,6199,0.8983640678115531,0.734375,1,,
,6249,0.8440510004598678,0.765625,1,,
,6299,0.8779740186726244,0.6796875,1,,
,6349,0.8148723703103479,0.7265625,1,,
,6399,0.7871122334137031,0.7578125,1,,
,6449,0.8579498894638423,0.734375,1,,
,6499,0.9245614288742274,0.6328125,1,,
,6549,0.7485284847077476,0.765625,1,,
,6599,0.7439867793680652,0.75,1,,
,6649,0.8279608277568823,0.7421875,1,,
,6699,0.7092669651453816,0.75,1,,
,6749,0.9244903398444139,0.6875,1,,
,6799,0.9020661686658148,0.734375,1,,
,6849,0.9287170371386642,0.671875,1,,
,6899,0.7468359461978691,0.7265625,1,,
,6949,0.9303795218631816,0.6875,1,,
,6999,0.9030114781496478,0.7421875,1,,
,7049,0.8422524881655586,0.7421875,1,,
