lr-AdamW,step,train_loss,train_acc,epoch,val_loss,val_acc
,7299,0.8502465813292266,0.7734375,1,,
,7349,0.9211634162220068,0.7109375,1,,
,7399,0.8833780162770198,0.7578125,1,,
,7449,0.9383654156627982,0.71875,1,,
,7499,1.148136201716796,0.6640625,1,,
,7549,0.8951538872161774,0.6875,1,,
,7599,1.3396653697470626,0.6015625,1,,
,7649,1.0866700229406836,0.5859375,1,,
,7699,1.0366326937283334,0.65625,1,,
,7749,1.0508115413179329,0.65625,1,,
,7799,1.0378103186388166,0.640625,1,,
,7849,0.8952189415826713,0.703125,1,,
,7899,1.0011835291041136,0.6953125,1,,
,7949,1.1453564797730722,0.65625,1,,
,7999,1.0147319542210411,0.6953125,1,,
,8049,1.1270944871383741,0.6171875,1,,
,8099,0.9637899377581391,0.6953125,1,,
,8149,1.0529977048172852,0.625,1,,
,8199,1.1084546241972117,0.6171875,1,,
,8249,1.1784822663628325,0.6171875,1,,
,8299,1.2328953011884638,0.625,1,,
,8349,1.076247363209108,0.6484375,1,,
,8399,0.9204650281470782,0.6953125,1,,
,8449,0.9153386046327951,0.7109375,1,,
,8499,0.9192947948324119,0.703125,1,,
,8549,1.1043140267521339,0.65625,1,,
,8599,1.3391130420952315,0.625,1,,
,8649,0.9606764482944244,0.6953125,1,,
,8699,0.9057085235679561,0.7109375,1,,
,8749,1.108345959357107,0.59375,1,,
,8799,1.0551993183443653,0.6484375,1,,
,8849,1.1014520987140226,0.65625,1,,
,8899,1.0104299790107796,0.6953125,1,,
,8949,1.198915158785963,0.65625,1,,
,8999,0.9423827804221246,0.6875,1,,
,9049,0.9319149529442486,0.6796875,1,,
,9099,1.0396490845379192,0.6875,1,,
,9149,0.973588238302693,0.71875,1,,
,9199,0.8845331235253928,0.703125,1,,
,9249,1.0622222472893397,0.6640625,1,,
,9299,0.9197635279851344,0.7265625,1,,
,9349,0.9768253660706142,0.6875,1,,
,9399,0.9904203189973961,0.6640625,1,,
,9449,0.9256956449195345,0.6875,1,,
,9499,0.8481762587716702,0.7109375,1,,
,9549,0.9854727949282125,0.6328125,1,,
,9599,0.8994581831146573,0.6875,1,,
,9649,1.1156066275847754,0.6171875,1,,
,9699,0.8940754219062913,0.6875,1,,
,9749,1.0689144391185046,0.6328125,1,,
,9799,1.0101959169219514,0.6953125,1,,
,9849,0.981912383442482,0.703125,1,,
,9899,0.859676164791052,0.75,1,,
,9949,1.0055714707157228,0.7109375,1,,
,9999,0.9324325572001246,0.703125,1,,
,10049,0.9199974055369572,0.7109375,1,,
,10099,0.9985003431779843,0.6875,1,,
,10149,1.0578576979490795,0.6875,1,,
,10199,1.0533179485631774,0.6796875,1,,
,10249,0.8851812477867471,0.703125,1,,
,10299,0.9647047283812533,0.6953125,1,,
,10349,1.0329868049441076,0.6953125,1,,
,10399,0.8996384827281231,0.703125,1,,
,10449,0.8951405443809552,0.640625,1,,
,10499,0.7905923950754582,0.75,1,,
,10549,0.9381709119706868,0.6796875,1,,
,10599,1.0300714079017763,0.6875,1,,
,10649,0.8874123680427906,0.71875,1,,
,10699,0.932366476447659,0.6875,1,,
,10749,0.9776005084401561,0.7109375,1,,
,10799,0.8969764152111354,0.734375,1,,
,10849,0.8666585106472491,0.71875,1,,
,10899,1.0260327804199376,0.703125,1,,
,10949,0.7941216885758413,0.71875,1,,
,10999,1.0954054425634483,0.640625,1,,
,11049,1.0290309163363491,0.640625,1,,
,11063,,,1,0.8729679027893544,0.7162649768674128
0.0001,11064,,,,,
,11099,0.718284249706487,0.7890625,2,,
,11149,1.0535043315427486,0.65625,2,,
,11199,1.0679287777382376,0.6640625,2,,
,11249,1.068860004147505,0.625,2,,
,11299,0.9141931413940892,0.71875,2,,
,11349,0.9416771859627989,0.734375,2,,
,11399,0.8695262977562007,0.734375,2,,
,11449,0.9371660991151259,0.703125,2,,
,11499,1.0666854214964472,0.6640625,2,,
,11549,0.8709963921227587,0.7578125,2,,
,11599,0.9871040335345906,0.6875,2,,
,11649,0.9842648938779021,0.6640625,2,,
,11699,0.9103170408469663,0.671875,2,,
,11749,0.877641098649837,0.71875,2,,
,11799,0.8054377272974185,0.75,2,,
,11849,0.9720503915675323,0.671875,2,,
,11899,0.7442023721726574,0.7890625,2,,
,11949,0.9792072753002371,0.6875,2,,
,11999,0.8891626382117658,0.671875,2,,
,12049,0.828186661791506,0.71875,2,,
,12099,0.9676346254749121,0.703125,2,,
,12149,1.0044122172572252,0.703125,2,,
,12199,0.986277895204803,0.6640625,2,,
,12249,1.0405066953123374,0.6796875,2,,
,12299,0.8640324237288339,0.734375,2,,
,12349,0.7837537016881365,0.765625,2,,
,12399,0.9235674766415412,0.71875,2,,
,12449,0.9170388919663852,0.6875,2,,
,12499,1.0279269520922125,0.625,2,,
,12549,0.8598017506248147,0.703125,2,,
,12599,1.0284205135910998,0.609375,2,,
,12649,0.9110640449746,0.6796875,2,,
,12699,0.9828663662510269,0.6953125,2,,
,12749,0.7704668160932016,0.75,2,,
,12799,0.9282695186412556,0.6953125,2,,
,12849,0.8614196273055396,0.71875,2,,
,12899,0.9553755620414398,0.7265625,2,,
,12949,1.0040779509961062,0.6796875,2,,
,12999,1.1130881384419637,0.59375,2,,
,13049,1.0620748924061807,0.6796875,2,,
,13099,0.996993262075798,0.6484375,2,,
,13149,0.9038532378041959,0.765625,2,,
,13199,0.9700315804051364,0.703125,2,,
,13249,0.8884182501529347,0.6953125,2,,
,13299,0.769856377474675,0.7421875,2,,
,13349,0.8956884892517573,0.703125,2,,
,13399,0.9551646222238643,0.71875,2,,
,13449,0.8120085815707299,0.7421875,2,,
,13499,0.9489579181302485,0.71875,2,,
,13549,0.989772155706309,0.703125,2,,
,13599,0.8778283917578465,0.6640625,2,,
,13649,1.0824905449393063,0.6484375,2,,
,13699,0.916126688716591,0.7265625,2,,
,13749,0.9090969775139909,0.6796875,2,,
,13799,1.0292551875985823,0.6875,2,,
,13849,1.043035277718318,0.703125,2,,
,13899,1.063741394398662,0.65625,2,,
,13949,0.957045014913346,0.7109375,2,,
,13999,0.8173301234929223,0.765625,2,,
