lr-AdamW,step,train_loss,train_acc,epoch,val_loss,val_acc
0.0001,0,,,,,
,49,3.1018977541270005,0.1953125,0,,
,99,2.6932022022160447,0.1875,0,,
,149,2.4634710780731592,0.3515625,0,,
,199,2.182783448866634,0.3984375,0,,
,249,2.041467491275183,0.421875,0,,
,299,2.0294655268086164,0.4140625,0,,
,349,1.8251372062459654,0.5,0,,
,399,1.8025801379188215,0.4765625,0,,
,449,1.665113733472042,0.53125,0,,
,499,1.7950385987048858,0.4453125,0,,
,549,1.5316911737021144,0.46875,0,,
,599,1.6634478994472568,0.46875,0,,
,649,1.5624085919306223,0.5703125,0,,
,699,1.4581661650935493,0.5,0,,
,749,1.362100659158473,0.5703125,0,,
,799,1.2660289288332078,0.6640625,0,,
,849,1.4605955812815696,0.5703125,0,,
,899,1.3131706399839178,0.59375,0,,
,949,1.376715427999953,0.5703125,0,,
,999,1.2451254208276525,0.640625,0,,
,1049,1.2476122756345975,0.65625,0,,
,1099,1.3716855408217286,0.6328125,0,,
,1149,1.1204516593213703,0.625,0,,
,1199,1.3986263341535665,0.6015625,0,,
,1249,0.9788605851272677,0.6875,0,,
,1299,0.9728383976755561,0.7109375,0,,
,1349,1.2662747602183904,0.640625,0,,
,1399,1.1298720449683088,0.6796875,0,,
,1449,1.1337260871167332,0.65625,0,,
,1499,1.0721431972919753,0.6328125,0,,
,1549,1.1483141099177052,0.5859375,0,,
,1599,1.0927228573671293,0.6328125,0,,
,1649,1.1630564826089698,0.6015625,0,,
,1699,1.1312018161190367,0.640625,0,,
,1749,1.0927315367654171,0.625,0,,
,1799,1.2725769503345525,0.5625,0,,
,1849,0.9335023989856157,0.71875,0,,
,1899,1.079741163533914,0.6953125,0,,
,1949,0.857404836048081,0.7421875,0,,
,1999,0.9576801266752749,0.7109375,0,,
,2049,1.1865078540426814,0.6171875,0,,
,2099,1.112259056464177,0.671875,0,,
,2149,0.9830349127257464,0.65625,0,,
,2199,0.9424840432798439,0.71875,0,,
,2249,0.8525122483379555,0.7109375,0,,
,2299,0.949726686875296,0.7265625,0,,
,2349,0.9051713668380584,0.6796875,0,,
,2399,0.8757262592647872,0.7109375,0,,
,2449,0.9729846952934869,0.71875,0,,
,2499,0.9286581300133754,0.71875,0,,
,2549,1.0000587575157864,0.65625,0,,
,2599,1.0800440701256944,0.671875,0,,
,2649,0.8822288076571687,0.71875,0,,
,2699,1.0329710404245207,0.7109375,0,,
,2749,0.8940197883584537,0.71875,0,,
,2799,0.8136778201541441,0.7578125,0,,
,2849,1.0208751172865647,0.671875,0,,
,2899,1.0290855501261609,0.671875,0,,
,2949,0.959199095698611,0.7109375,0,,
,2999,0.9415799548881455,0.6875,0,,
,3049,0.8705364124863376,0.71875,0,,
,3099,1.0486862891250404,0.6875,0,,
,3149,0.9215035351673821,0.7109375,0,,
,3199,1.2475388248119477,0.53125,0,,
,3249,0.9324137846865967,0.71875,0,,
,3299,0.7259671090806158,0.7890625,0,,
,3349,0.7711368579769275,0.734375,0,,
,3399,0.9143714112731957,0.6953125,0,,
,3449,0.9153408389860266,0.65625,0,,
,3499,0.8369760392165126,0.7265625,0,,
,3549,0.8913091688012559,0.75,0,,
,3599,0.9022882843751617,0.734375,0,,
,3649,0.7318799850591295,0.7734375,0,,
,3699,0.979518864422775,0.6640625,0,,
,3749,0.9516249314763396,0.6640625,0,,
,3799,0.7933984546229805,0.75,0,,
,3849,0.9912380430504978,0.6875,0,,
,3899,0.6862583804525589,0.7578125,0,,
,3949,0.8619113321937137,0.7734375,0,,
,3999,0.7438389538760395,0.765625,0,,
,4049,0.7771864111230874,0.71875,0,,
,4099,0.7861751383414289,0.7578125,0,,
,4149,0.9417730977257655,0.6953125,0,,
,4199,0.8736723441756454,0.71875,0,,
,4249,0.9881190389582493,0.71875,0,,
,4299,1.0616497792268913,0.6484375,0,,
,4349,0.9896176586320411,0.671875,0,,
,4399,0.8180712903523863,0.75,0,,
,4449,0.928747522967293,0.703125,0,,
,4499,0.972677186024068,0.65625,0,,
,4549,0.8894437152342173,0.7265625,0,,
,4599,0.7647022126969383,0.796875,0,,
,4649,0.8698422518254055,0.703125,0,,
,4699,0.9407897272712478,0.703125,0,,
,4749,0.8384078690715535,0.765625,0,,
,4799,0.774709476451406,0.75,0,,
,4849,1.018792275307592,0.6484375,0,,
,4899,0.7871595136359946,0.75,0,,
,4949,0.8314792622588728,0.703125,0,,
,4999,0.8913797519926174,0.7109375,0,,
,5049,0.8470973212066072,0.703125,0,,
,5099,0.9109086751334959,0.703125,0,,
,5149,0.7307102087348067,0.75,0,,
,5199,0.7914136282202991,0.75,0,,
,5249,0.8499398913416978,0.7421875,0,,
,5299,0.8159308395684067,0.734375,0,,
,5349,0.8265934380347176,0.7890625,0,,
,5399,1.000288572422399,0.671875,0,,
,5449,0.79306788780791,0.765625,0,,
,5499,0.7601909620014998,0.7109375,0,,
,5531,,,0,0.9236912796459725,0.6914715884376607
0.0001,5532,,,,,
,5549,0.859159598508693,0.6875,1,,
,5599,0.9228234958715084,0.6796875,1,,
,5649,0.9635212731234223,0.6796875,1,,
